,period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
0,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,MD,Maryland,5.177193,million metric tons of CO2
1,2020,CC,Commercial carbon dioxide emissions,CO,Coal,WY,Wyoming,0.004421,million metric tons of CO2
2,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,WY,Wyoming,0.221233,million metric tons of CO2
3,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,0.697883,million metric tons of CO2
4,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,WY,Wyoming,0.923536,million metric tons of CO2
5,2020,CC,Commercial carbon dioxide emissions,CO,Coal,WI,Wisconsin,0.03921,million metric tons of CO2
6,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,WI,Wisconsin,0.969898,million metric tons of CO2
7,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WI,Wisconsin,5.101582,million metric tons of CO2
8,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,WI,Wisconsin,6.110691,million metric tons of CO2
9,2020,CC,Commercial carbon dioxide emissions,CO,Coal,WV,West Virginia,0.0,million metric tons of CO2
10,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.349413,million metric tons of CO2
11,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,1.239575,million metric tons of CO2
12,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,WV,West Virginia,1.588988,million metric tons of CO2
13,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,WA,Washington,3.187616,million metric tons of CO2
14,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,WA,Washington,4.639341,million metric tons of CO2
15,2020,CC,Commercial carbon dioxide emissions,CO,Coal,WA,Washington,0.0,million metric tons of CO2
16,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,WA,Washington,1.451726,million metric tons of CO2
17,2020,CC,Commercial carbon dioxide emissions,CO,Coal,VA,Virginia,0.025083,million metric tons of CO2
18,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,VA,Virginia,1.891723,million metric tons of CO2
19,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,VA,Virginia,3.784546,million metric tons of CO2
20,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,VA,Virginia,5.701352,million metric tons of CO2
21,2020,CC,Commercial carbon dioxide emissions,CO,Coal,VT,Vermont,0.0,million metric tons of CO2
22,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,VT,Vermont,0.499974,million metric tons of CO2
23,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,VT,Vermont,0.384127,million metric tons of CO2
24,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,VT,Vermont,0.8841,million metric tons of CO2
25,2020,CC,Commercial carbon dioxide emissions,CO,Coal,UT,Utah,0.0,million metric tons of CO2
26,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,UT,Utah,0.472076,million metric tons of CO2
27,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,UT,Utah,2.440474,million metric tons of CO2
28,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,UT,Utah,2.912549,million metric tons of CO2
29,2020,CC,Commercial carbon dioxide emissions,CO,Coal,US,United States,1.391672,million metric tons of CO2
30,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,US,United States,59.621538,million metric tons of CO2
31,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,US,United States,174.794799,million metric tons of CO2
32,2020,CC,Commercial carbon dioxide emissions,TO,All Fuels,US,United States,235.808009,million metric tons of CO2
33,2020,CC,Commercial carbon dioxide emissions,CO,Coal,TX,Texas,0.0,million metric tons of CO2
34,2020,CC,Commercial carbon dioxide emissions,PE,Petroleum,TX,Texas,3.719915,million metric tons of CO2
35,2020,CC,Commercial carbon dioxide emissions,NG,Natural Gas,TX,Texas,9.340308,million metric tons of CO2
